Timestamp,Millis,Temp_C,Lux,Distance_CM,System_Mode,Deviation_Active,Deviation_Fixed_Sec
2026-04-29 00:35:36,71844,20.69,43.00,9.11,1,1,
2026-04-29 00:35:38,72939,20.69,43.00,9.21,1,1,
2026-04-29 00:35:39,74035,20.69,43.00,9.11,1,1,
2026-04-29 00:35:40,75130,20.75,43.00,9.10,1,1,
2026-04-29 00:35:41,76225,20.75,43.00,9.20,1,1,
2026-04-29 00:35:42,77321,20.69,43.00,9.11,1,1,
2026-04-29 00:35:43,78416,20.69,43.00,9.10,1,1,
2026-04-29 00:35:44,79511,20.75,43.00,9.20,1,1,
2026-04-29 00:35:45,80607,20.69,43.00,9.10,1,1,
2026-04-29 00:35:46,81702,20.69,43.00,9.11,1,1,
2026-04-29 00:35:47,82797,20.69,43.00,9.20,1,1,
2026-04-29 00:35:48,83893,20.75,43.00,9.11,1,1,
2026-04-29 00:35:50,84988,20.69,43.00,9.10,1,1,
2026-04-29 00:35:51,86083,20.69,43.00,9.21,1,1,
2026-04-29 00:35:52,87179,20.69,43.00,9.10,1,1,
2026-04-29 00:35:53,88274,20.69,43.00,9.11,1,1,
2026-04-29 00:35:54,89369,20.75,43.00,9.21,1,1,
2026-04-29 00:35:55,90465,20.69,43.00,9.11,1,1,
2026-04-29 00:35:56,91560,20.69,43.00,9.11,1,1,
2026-04-29 00:35:57,92655,20.69,43.00,9.21,1,1,
2026-04-29 00:35:58,93751,20.75,43.00,9.11,1,1,
2026-04-29 00:35:59,94846,20.75,43.00,9.11,1,1,
2026-04-29 00:36:01,95941,20.69,43.00,9.21,1,1,
2026-04-29 00:36:02,97037,20.69,43.00,8.84,1,1,
2026-04-29 00:36:03,98132,20.69,43.00,9.21,1,1,
2026-04-29 00:36:04,99227,20.69,43.00,9.21,1,1,
2026-04-29 00:36:05,100323,20.69,43.00,9.10,1,1,
2026-04-29 00:36:06,101419,20.69,43.00,8.84,1,1,
2026-04-29 00:36:07,102513,20.69,43.00,9.21,1,1,
2026-04-29 00:36:08,103609,20.69,43.00,9.11,1,1,
2026-04-29 00:36:09,104705,20.69,43.00,9.10,1,1,
2026-04-29 00:36:10,105800,20.69,43.00,9.21,1,1,
2026-04-29 00:36:12,106895,20.75,43.00,9.20,1,1,
2026-04-29 00:36:13,107991,20.69,43.00,9.11,1,1,
2026-04-29 00:36:14,109086,20.69,43.00,9.11,1,1,
2026-04-29 00:36:15,110181,20.69,43.00,9.20,1,1,
2026-04-29 00:36:16,111277,20.69,43.00,9.10,1,1,
2026-04-29 00:36:17,112372,20.69,43.00,9.10,1,1,
2026-04-29 00:36:18,113468,20.69,43.00,9.20,1,1,
2026-04-29 00:36:19,114563,20.69,43.00,9.21,1,1,
2026-04-29 00:36:20,115658,20.69,43.00,9.11,1,1,
2026-04-29 00:36:21,116754,20.69,43.00,9.11,1,1,
2026-04-29 00:36:23,117849,20.69,43.00,9.21,1,1,
2026-04-29 00:36:24,118944,20.75,43.00,9.20,1,1,
2026-04-29 00:36:25,120040,20.69,43.00,9.10,1,1,
2026-04-29 00:36:26,121136,20.69,43.00,9.21,1,1,
2026-04-29 00:36:27,122230,20.69,43.00,9.21,1,1,
2026-04-29 00:36:28,123326,20.69,43.00,9.11,1,1,
2026-04-29 00:36:29,124422,20.69,43.00,9.10,1,1,
2026-04-29 00:36:30,125516,20.75,43.00,9.20,1,1,
2026-04-29 00:36:31,126612,20.69,43.00,9.10,1,1,
2026-04-29 00:36:32,127708,20.69,43.00,9.11,1,1,
